,,BEV,FCV,HEV,ICE,PHEV,Trolley
MFT,2029,0.0,0.0,20570863.44365579,0.0,261303175.61842984,0.0
MFT,2030,0.0,0.0,22928716.098016687,0.0,292812615.27261275,0.0
MFT,2031,0.0,0.0,25414292.99583999,0.0,325592667.7474615,0.0
MFT,2032,0.0,0.0,27948618.416613203,0.0,358918236.46145535,0.0
MFT,2033,0.0,0.0,30539050.896135047,0.0,392921667.6672799,0.0
MFT,2034,0.0,0.0,33212492.87792685,0.0,427575567.7416439,0.0
MFT,2035,0.0,0.0,35937227.2862087,0.0,464643678.7701006,0.0
MFT,2036,0.0,0.0,38664094.634377986,0.0,502864233.6006361,0.0
MFT,2037,0.0,0.0,41627854.94020969,0.0,544325669.6287324,0.0
MFT,2038,0.0,0.0,44702219.52080657,0.0,592156269.0489339,0.0
MFT,2039,0.0,0.0,47914404.90569958,0.0,643309722.4797497,0.0
MFT,2040,0.0,0.0,51083629.64251806,0.0,702025531.9819008,0.0
MFT,2041,0.0,0.0,53976221.693236716,0.0,757400847.6270205,0.0
MFT,2042,0.0,0.0,56756966.045012444,0.0,812338770.7893816,0.0
MFT,2043,0.0,0.0,59428208.05020358,0.0,865670318.0143622,0.0
MFT,2044,0.0,0.0,61887707.827494405,0.0,918065879.5231829,0.0
MFT,2045,0.0,0.0,64227405.92683219,0.0,967818980.8225943,0.0
MFT,2046,0.0,0.0,66352144.52125599,0.0,1012477081.7179424,0.0
MFT,2047,0.0,0.0,68176329.81401736,0.0,1055734175.4458169,0.0
MFT,2048,0.0,0.0,69626480.36901999,0.0,1098744668.9850023,0.0
MFT,2049,0.0,0.0,71086093.31095648,0.0,1137911957.904765,0.0
MFT,2050,0.0,0.0,72433644.29500546,0.0,1175155385.989185,0.0
MFT,2051,0.0,0.0,73437050.39559707,0.0,1206952329.6840267,0.0
MFT,2052,0.0,0.0,74376827.68761718,0.0,1236327280.7958908,0.0
MFT,2053,0.0,0.0,75402842.51590632,0.0,1262722609.1118033,0.0
MFT,2054,0.0,0.0,76296285.24693605,0.0,1288533235.8897786,0.0
MFT,2055,0.0,0.0,77162154.47349742,0.0,1313509866.347123,0.0
MFT,2056,0.0,0.0,77893105.98673326,0.0,1337222845.6829357,0.0
MFT,2057,0.0,0.0,78557806.71800311,0.0,1361117188.5223413,0.0
MFT,2058,0.0,0.0,79126102.39485036,0.0,1385386960.0433369,0.0
MFT,2059,0.0,0.0,79613434.04616316,0.0,1409964278.185289,0.0
MFT,2060,0.0,0.0,80013433.03139295,0.0,1434913335.7530525,0.0
MFT,2061,0.0,0.0,80240087.06228508,0.0,1458765061.5556684,0.0
MFT,2062,0.0,0.0,80355964.40298234,0.0,1483151853.1779175,0.0
MFT,2063,0.0,0.0,80419613.33826856,0.0,1507690662.4707432,0.0
MFT,2064,0.0,0.0,80314109.78257315,0.0,1533165762.1488695,0.0
MFT,2065,0.0,0.0,80171485.20121534,0.0,1558792991.9216301,0.0
MFT,2066,0.0,0.0,79830231.49108285,0.0,1583523645.5867872,0.0
MFT,2067,0.0,0.0,79385034.84248082,0.0,1608757763.5657961,0.0
MFT,2068,0.0,0.0,78811022.54572779,0.0,1634611419.829425,0.0
MFT,2069,0.0,0.0,78137670.92320335,0.0,1660934193.1405134,0.0
MFT,2070,0.0,0.0,77374223.51635303,0.0,1687657917.754035,0.0
MFT,2071,0.0,0.0,76359161.87051626,0.0,1713508247.1574366,0.0
MFT,2072,0.0,0.0,75320191.81652062,0.0,1739356079.3249023,0.0
MFT,2073,0.0,0.0,74201518.35979983,0.0,1765560529.5403311,0.0
MFT,2074,0.0,0.0,73030277.14106059,0.0,1791952429.3915656,0.0
MFT,2075,0.0,0.0,71813429.18925884,0.0,1818465178.7128937,0.0
MFT,2076,0.0,0.0,70484749.93395042,0.0,1843391743.8127937,0.0
MFT,2077,0.0,0.0,69118518.91796932,0.0,1868336045.3024082,0.0
MFT,2078,0.0,0.0,67683936.1427519,0.0,1893434956.2008631,0.0
MFT,2079,0.0,0.0,66182716.094273,0.0,1918706591.5769281,0.0
MFT,2080,0.0,0.0,64614265.93968875,0.0,1944230029.8679917,0.0
MFT,2081,0.0,0.0,62937577.57512175,0.0,1968356624.3636177,0.0
